epoch,disc_loss,gen_loss
-1,2.1873300075531006,0.9647728204727173
0,1.4881418943405151,0.7701436877250671
1,1.4392870664596558,0.7806112766265869
2,1.4154185056686401,0.7965811491012573
3,1.4076929092407227,0.8015666604042053
4,1.3988277912139893,0.8088889718055725
5,1.398879051208496,0.8067502975463867
6,1.3774393796920776,0.8249362111091614
7,1.3128635883331299,0.8996419906616211
8,1.2608678340911865,0.9584475755691528
9,1.2551233768463135,0.9687592387199402
10,1.2505292892456055,0.975710391998291
11,1.2239187955856323,1.0050805807113647
12,1.1864559650421143,1.0508540868759155
13,1.1700574159622192,1.0886552333831787
14,1.1446012258529663,1.1282812356948853
15,1.130445957183838,1.1559003591537476
16,1.1079833507537842,1.1911197900772095
17,1.0965802669525146,1.2157118320465088
18,1.0937408208847046,1.2437520027160645
19,1.069264531135559,1.279698133468628
20,1.053126335144043,1.3083842992782593
21,1.0364383459091187,1.3479318618774414
22,1.0082937479019165,1.396549940109253
23,0.9882015585899353,1.4510791301727295
24,0.9713836312294006,1.4988259077072144
25,0.9499598741531372,1.5609527826309204
26,0.9229718446731567,1.6107603311538696
27,0.9081082940101624,1.6514085531234741
28,0.8938716650009155,1.7204363346099854
29,0.8716144561767578,1.771569848060608
30,0.8703526258468628,1.799574613571167
31,0.8461701273918152,1.8554809093475342
32,0.8253729343414307,1.914664387702942
33,0.801694393157959,1.9960174560546875
34,0.7923588752746582,2.025967597961426
35,0.799010694026947,2.058060646057129
36,0.746070146560669,2.135556936264038
37,0.7505589127540588,2.2133259773254395
38,0.7166934013366699,2.2778029441833496
39,0.7178861498832703,2.3569862842559814
40,0.6833043694496155,2.426941156387329
41,0.6796723008155823,2.505774974822998
42,0.6664890050888062,2.5967676639556885
43,0.6811858415603638,2.5819406509399414
44,0.6589226126670837,2.6120550632476807
45,0.6376899480819702,2.6547412872314453
46,0.6523520946502686,2.706005096435547
47,0.6398826241493225,2.7052152156829834
48,0.625855028629303,2.726041555404663
49,0.6322760581970215,2.8099725246429443
