epoch,disc_loss,gen_loss
-1,2.1873300075531006,0.9647728204727173
0,1.4881418943405151,0.7701436877250671
1,1.4392870664596558,0.7806112766265869
2,1.4154185056686401,0.7965811491012573
3,1.4076929092407227,0.8015666604042053
4,1.3988277912139893,0.8088889718055725
5,1.398879051208496,0.8067502975463867
6,1.3774393796920776,0.8249362111091614
7,1.3128635883331299,0.8996419906616211
8,1.2608678340911865,0.9584475755691528
9,1.2551233768463135,0.9687592387199402
10,1.2505292892456055,0.975710391998291
11,1.2239187955856323,1.0050805807113647
12,1.1864559650421143,1.0508540868759155
13,1.1700574159622192,1.0886552333831787
14,1.1446012258529663,1.1282812356948853
15,1.130445957183838,1.1559003591537476
16,1.1079833507537842,1.1911197900772095
17,1.0965802669525146,1.2157118320465088
18,1.0937408208847046,1.2437520027160645
19,1.069264531135559,1.279698133468628
20,1.053126335144043,1.3083842992782593
21,1.0364383459091187,1.3479318618774414
22,1.0082937479019165,1.396549940109253
23,0.9882015585899353,1.4510791301727295
24,0.9713836312294006,1.4988259077072144
25,0.9499598741531372,1.5609527826309204
26,0.9229718446731567,1.6107603311538696
27,0.9081082940101624,1.6514085531234741
28,0.8938716650009155,1.7204363346099854
29,0.8716144561767578,1.771569848060608
30,0.8703526258468628,1.799574613571167
31,0.8461701273918152,1.8554809093475342
32,0.8253729343414307,1.914664387702942
33,0.801694393157959,1.9960174560546875
34,0.7923588752746582,2.025967597961426
35,0.799010694026947,2.058060646057129
36,0.746070146560669,2.135556936264038
37,0.7505589127540588,2.2133259773254395
38,0.7166934013366699,2.2778029441833496
39,0.7178861498832703,2.3569862842559814
40,0.6833043694496155,2.426941156387329
41,0.6796723008155823,2.505774974822998
42,0.6664890050888062,2.5967676639556885
43,0.6811858415603638,2.5819406509399414
44,0.6589226126670837,2.6120550632476807
45,0.6376899480819702,2.6547412872314453
46,0.6523520946502686,2.706005096435547
47,0.6398826241493225,2.7052152156829834
48,0.625855028629303,2.726041555404663
49,0.6322760581970215,2.8099725246429443
50,0.6286740899085999,2.794581174850464
51,0.6297348737716675,2.7214901447296143
52,0.6206883788108826,2.7697818279266357
53,0.6310694813728333,2.7694966793060303
54,0.6168750524520874,2.8113105297088623
55,0.6185747385025024,2.787997007369995
56,0.6448341608047485,2.7388241291046143
57,0.6194754242897034,2.719292640686035
58,0.6187734007835388,2.790766477584839
59,0.6214678287506104,2.784580707550049
60,0.6177230477333069,2.772526741027832
61,0.6070758104324341,2.87412691116333
62,0.611245334148407,2.841444969177246
63,0.6135993599891663,2.8211140632629395
64,0.6196792721748352,2.8816235065460205
65,0.6033728122711182,2.84263277053833
66,0.5964062213897705,2.910856008529663
67,0.5868244767189026,2.945103883743286
68,0.6023334860801697,2.9160425662994385
69,0.5943317413330078,2.9667186737060547
70,0.6044094562530518,2.9362435340881348
71,0.5869038105010986,3.017995834350586
72,0.572127640247345,3.0733251571655273
73,0.5729012489318848,3.1475627422332764
74,0.5778862833976746,3.1224143505096436
75,0.5596541166305542,3.229334831237793
76,0.5551545023918152,3.1929566860198975
77,0.5516912341117859,3.3276333808898926
78,0.545304536819458,3.232912063598633
79,0.5520820021629333,3.257659435272217
80,0.5313536524772644,3.3171169757843018
81,0.5544590950012207,3.3670105934143066
82,0.5287054181098938,3.3311455249786377
83,0.5388149619102478,3.4358444213867188
84,0.5254797339439392,3.3854222297668457
85,0.5140500664710999,3.4992825984954834
86,0.5090264081954956,3.474457263946533
87,0.5159331560134888,3.505072832107544
88,0.5133132934570312,3.514909267425537
89,0.5106726884841919,3.4305100440979004
90,0.5028631091117859,3.5406956672668457
91,0.49498388171195984,3.540705680847168
92,0.5072457194328308,3.5173656940460205
93,0.505066990852356,3.517932176589966
94,0.49872440099716187,3.476275682449341
95,0.4811652600765228,3.6444756984710693
96,0.49286967515945435,3.627392053604126
97,0.48824432492256165,3.59993314743042
98,0.48163682222366333,3.6282126903533936
99,0.4856421649456024,3.657207727432251
100,0.49114006757736206,3.6979644298553467
101,0.46925705671310425,3.6637096405029297
102,0.47723937034606934,3.6425905227661133
103,0.4844312369823456,3.602822780609131
104,0.4824535846710205,3.667083740234375
